,pm2_5,pm10,nitrogen_dioxide,sulphur_dioxide,ozone,us_aqi,T2M,RH2M,WS10M,PRECTOTCORR,target_pm2_5_next_day
pm2_5,1.0,0.31900722965202033,0.6195499275665189,0.7710776124705926,-0.04096041210436931,0.43621598621745744,-0.4052806227887744,-0.29004474424708004,-0.25065287488722354,-0.23782155228153612,0.8135628050547736
pm10,0.31900722965202033,1.0,-0.26284926250415525,-0.22275788829920218,0.4453429971817487,0.8243015837116432,0.37447398688573214,-0.5143965588692172,0.24165674418139693,-0.13029759262252574,0.2130739519867111
nitrogen_dioxide,0.6195499275665189,-0.26284926250415525,1.0,0.8547715769126196,-0.4814245273916035,-0.1104424617209288,-0.3870197861932155,0.16569785330084846,-0.5930540005585593,-0.0406037522672295,0.5336489710321037
sulphur_dioxide,0.7710776124705926,-0.22275788829920218,0.8547715769126196,1.0,-0.2197395382337882,-0.029002423840458258,-0.5141391153908651,-0.026729305351026023,-0.4996982140800301,-0.1598077008422371,0.6732403460500556
ozone,-0.04096041210436931,0.4453429971817487,-0.4814245273916035,-0.2197395382337882,1.0,0.3320650890957301,0.5549429555117678,-0.45493520362372997,0.1411889985345484,-0.16050064790993485,-0.06427643163793027
us_aqi,0.43621598621745744,0.8243015837116432,-0.1104424617209288,-0.029002423840458258,0.3320650890957301,1.0,0.16433922152214922,-0.4381294135769331,0.17761943983573994,-0.12215193631860256,0.25956488223157537
T2M,-0.4052806227887744,0.37447398688573214,-0.3870197861932155,-0.5141391153908651,0.5549429555117678,0.16433922152214922,1.0,0.01809273102970632,0.04816876728464906,0.19678898510765966,-0.416716391131818
RH2M,-0.29004474424708004,-0.5143965588692172,0.16569785330084846,-0.026729305351026023,-0.45493520362372997,-0.4381294135769331,0.01809273102970632,1.0,-0.13173127778305152,0.45819134797149325,-0.3046697816334099
WS10M,-0.25065287488722354,0.24165674418139693,-0.5930540005585593,-0.4996982140800301,0.1411889985345484,0.17761943983573994,0.04816876728464906,-0.13173127778305152,1.0,0.07064177246495415,-0.22264952339936236
PRECTOTCORR,-0.23782155228153612,-0.13029759262252574,-0.0406037522672295,-0.1598077008422371,-0.16050064790993485,-0.12215193631860256,0.19678898510765966,0.45819134797149325,0.07064177246495415,1.0,-0.2697977763571576
target_pm2_5_next_day,0.8135628050547736,0.2130739519867111,0.5336489710321037,0.6732403460500556,-0.06427643163793027,0.25956488223157537,-0.416716391131818,-0.3046697816334099,-0.22264952339936236,-0.2697977763571576,1.0
